01PS,small_airport,Nort's Resort Airport,41.59590149,-76.02960205,1040,NA,US,Meshoppen
01SC,small_airport,York Airport,35.03210068,-81.25279999,779,NA,US,York
01TE,small_airport,Smith Field,32.73759842,-96.4280014,505,NA,US,Forney
01TN,small_airport,Colonial Air Park,34.9958992,-89.73059845,370,NA,US,Collierville
01U,small_airport,Duckwater Airport,38.849785,-115.634987,5124,NA,US,Duckwater
01UT,small_airport,La Sal Junction Airport,38.30830002,-109.3960037,6000,NA,US,La Sal
01VA,small_airport,Pickles Airport,39.125,-77.92500305,500,NA,US,Berryville
01WI,small_airport,Prehn Cranberry Company Airport,44.00999832,-90.3891983,930,NA,US,Tomah
01WY,small_airport,Keyhole Airport,44.348312,-104.8106,4250,NA,US,Pine Haven
02AA,small_airport,Barefoot Airport,61.506147,-149.912825,160,NA,US,Big Lake
02AK,small_airport,Rustic Wilderness Airport,61.876907,-150.097626,190,NA,US,Willow
02AL,small_airport,Bass Field,30.37150002,-87.76439667,61,NA,US,Foley
02CD,small_airport,Shannon Field,34.12960052,-90.52400208,165,NA,US,Clarksdale
02CL,small_airport,Conover Air Lodge Airport,34.761101,-119.058998,5160,NA,US,Frazier Park
02CO,small_airport,Mc Cullough Airport,37.6432991,-106.0469971,7615,NA,US,Monte Vista
02FA,small_airport,Osborn Airfield,28.52669907,-81.87480164,121,NA,US,Groveland
02FD,small_airport,Triple R Ranch Airport,30.950976,-86.635555,209,NA,US,Baker
02GA,small_airport,Doug Bolton Field,34.20259857,-83.42900085,884,NA,US,Commerce
02GE,small_airport,Etowah Fields Airport,34.1753006,-84.92440033,710,NA,US,Euharlee
02ID,small_airport,Morgan Ranch Airport,44.55550003,-115.3050003,5634,NA,US,Cascade
02II,small_airport,King Ultralightport,40.06230164,-86.21050262,925,NA,US,Westfield
02IN,small_airport,Diamond P. Field,40.20890045,-85.540802,904,NA,US,Muncie
02KS,small_airport,Jmj Landing Airport,39.22219849,-96.05529785,1170,NA,US,St Marys
02MD,small_airport,Garner Field,38.672544,-76.709739,141,NA,US,Brandywine
02ME,small_airport,Nadeau's Airfield,43.537467,-70.930685,700,NA,US,Acton
02MI,small_airport,Fairplains Airpark,43.15710068,-85.14849854,850,NA,US,Greenville
02MO,small_airport,Troy Airpark,39.04999924,-91.03350067,650,NA,US,Troy
02MS,small_airport,Watts Field,34.095701,-90.846131,153,NA,US,Rochdale
02NE,small_airport,Benes Service Airport,41.07450104,-96.90450287,1550,NA,US,Valparaiso
02NV,small_airport,Paiute Meadows Airport,41.299551,-118.926709,4443,NA,US,Winnemucca
02OH,small_airport,Zimmerman Airport,41.37639999,-83.08329773,614,NA,US,Fremont
02OI,small_airport,Murtha Airport,41.80199814,-80.56539917,950,NA,US,Conneaut
02OR,small_airport,Rowena Dell Airport,45.68149948,-121.3160019,705,NA,US,The Dalles
02PR,small_airport,Cuylers Airport,18.464924,-66.363773,15,NA,PR,Vega Baja
02PS,small_airport,Hughes Ultralightport,41.90060043,-77.2303009,1700,NA,US,Tioga
02SC,small_airport,Harpers Airport,32.760211,-81.225872,111,NA,US,Estill
02T,small_airport,Wise River Airport,45.76910019,-112.9820023,5830,NA,US,Wise River
02TN,small_airport,Ellis Field,35.780355,-86.585521,840,NA,US,Rockvale
02UT,small_airport,Lucin Airport,41.369336,-113.841019,4412,NA,US,Lucin
02VA,small_airport,The Greenhouse Airport,38.43569946,-77.85720062,320,NA,US,Culpeper
02WA,small_airport,Cawleys South Prairie Airport,47.15230179,-122.0940018,690,NA,US,South Prairie
